query_id,method,subset,recall@1,hit@1,recall@5,hit@5,recall@10,hit@10,mrr@10,ndcg@10,map@10
Q000029,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000030,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000031,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000032,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000033,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000034,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000035,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000036,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000037,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000038,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000039,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000040,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000041,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000042,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000043,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000044,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000045,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000046,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000047,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000048,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000049,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000050,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000051,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000052,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000053,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000054,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000055,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000056,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000057,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000058,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000059,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000060,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000061,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000062,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000063,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000064,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000065,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000066,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000067,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000068,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000069,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000070,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000071,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000072,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000073,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000074,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000075,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000076,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000077,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000078,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000079,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000080,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000081,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000082,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000083,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000084,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285
Q000085,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000086,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000087,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000088,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000089,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000090,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000091,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000092,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000093,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000094,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000095,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000096,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000097,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000098,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000099,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000100,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000101,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000102,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000103,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000104,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000105,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000106,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000107,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000108,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000109,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000110,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000111,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000112,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000113,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000114,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000115,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000116,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000117,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000118,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000119,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000120,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000121,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000122,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000123,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000124,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000125,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000126,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000127,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000128,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000129,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000130,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000131,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000132,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000133,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000134,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000135,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000136,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812,0.1111111111111111
Q000137,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000138,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000139,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000140,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000141,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000142,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000143,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000144,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000145,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000146,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000147,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000148,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000149,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000150,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000151,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285
Q000152,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000153,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000154,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285
Q000155,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000156,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000157,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000158,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000159,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000160,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000161,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000162,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000163,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000164,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000165,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000166,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000167,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000168,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000169,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000170,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000171,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285
Q000172,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000173,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000174,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000175,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000176,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000177,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000178,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000179,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000180,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000181,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812,0.1111111111111111
Q000182,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000183,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000184,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000185,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000186,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000187,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000188,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000189,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000190,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000191,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000192,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000193,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000194,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000195,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000196,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000197,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000198,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000199,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000200,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000201,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000202,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285
Q000203,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000204,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000205,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000206,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000207,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000208,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812,0.1111111111111111
Q000209,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000210,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000211,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000212,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000213,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000214,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812,0.1111111111111111
Q000215,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000216,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812,0.1111111111111111
Q000217,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000218,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000219,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000220,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000221,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000222,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.125,0.31546487678572877,0.125
Q000223,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.125,0.31546487678572877,0.125
Q000224,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000225,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000226,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000227,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000228,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000229,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000230,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000231,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000232,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000233,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000234,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000235,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000236,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000237,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000238,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000239,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000240,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000241,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000242,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000243,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000244,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000245,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000246,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000247,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000248,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000249,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000250,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000251,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000252,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000253,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.25
Q000254,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000255,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.38685280723454163,0.2
Q000256,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000257,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000258,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333
Q000259,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000260,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000261,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000262,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000263,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
